epoch,training_acc,training_loss
0,97.63,744.87
1,98.08,696.3
2,98.65,693.51
3,98.83,691.83
4,98.99,690.93
5,98.97,689.99
6,98.27,689.75
7,99.22,689.32
8,99.2,688.99
9,99.33,688.68
10,99.35,688.35
11,99.15,688.08
12,99.45,688.28
13,99.34,687.89
14,99.34,687.8
15,99.37,687.75
16,99.03,687.56
17,99.34,687.71
18,99.38,687.52
19,99.03,687.85
20,99.33,687.33
21,99.31,687.71
22,99.28,687.31
23,99.38,687.47
24,99.25,687.45
25,99.35,687.26
26,99.36,687.28
27,98.96,687.19
28,99.15,687.0
29,99.33,687.05
30,99.39,687.2
31,99.42,687.09
32,99.27,687.11
33,99.45,687.3
34,99.33,687.17
35,99.03,687.26
36,99.33,687.2
37,99.14,687.34
38,99.15,687.21
39,99.42,687.13
