epoch,training_acc,training_loss
0,97.28,735.16
1,98.33,695.84
2,98.76,693.08
3,98.32,691.63
4,99.06,690.67
5,99.0,689.98
6,98.88,689.43
7,99.11,689.1
8,99.19,688.81
9,98.32,688.69
10,99.24,688.46
11,99.2,688.59
12,99.12,688.42
13,98.91,688.08
14,99.42,687.97
15,99.28,687.94
16,99.11,687.71
17,99.23,687.86
18,99.28,687.79
19,99.27,687.79
20,99.36,687.83
21,99.34,687.61
22,99.39,687.76
23,99.37,687.58
24,99.45,687.23
25,99.52,687.35
26,99.13,687.25
27,99.33,687.38
28,99.34,687.83
29,99.41,687.37
30,99.27,687.71
31,99.3,687.47
32,99.56,687.23
33,99.45,687.22
34,99.19,686.88
35,99.51,687.41
36,99.34,687.1
37,99.5,687.06
38,99.38,687.25
39,99.41,687.23
