epoch,training_acc,training_loss
0,96.35,751.59
1,98.13,698.41
2,97.51,694.5
3,98.81,692.4
4,98.68,691.7
5,98.52,690.55
6,99.26,690.32
7,98.94,689.74
8,99.42,689.11
9,99.06,688.8
10,99.42,688.5
11,99.41,688.29
12,99.35,688.1
13,99.26,688.05
14,99.32,688.15
15,99.28,687.9
16,99.06,687.81
17,99.25,687.37
18,99.51,687.51
19,99.46,687.57
20,99.44,687.31
21,99.46,687.18
22,99.28,687.36
23,99.4,687.53
24,99.47,687.37
25,99.4,687.61
26,99.36,687.51
27,99.31,687.1
28,99.55,687.03
29,99.54,687.14
30,99.49,687.09
31,98.95,686.96
32,99.4,687.1
33,99.53,687.12
34,99.4,686.65
35,99.48,686.88
36,99.42,686.87
37,99.39,687.15
38,99.51,687.11
39,99.35,686.8
