epoch,training_acc,training_loss
0,96.23,738.18
1,98.01,697.51
2,98.48,693.99
3,98.62,692.29
4,99.12,690.86
5,99.14,690.48
6,99.11,689.9
7,99.19,689.42
8,98.86,689.3
9,99.39,688.81
10,99.13,688.49
11,99.36,688.57
12,99.38,687.97
13,99.36,687.98
14,99.25,687.85
15,99.43,687.7
16,99.47,687.9
17,99.41,687.61
18,99.3,687.62
19,99.46,687.66
20,99.47,687.36
21,99.44,687.46
22,99.39,687.17
23,99.34,687.34
24,99.44,687.31
25,99.35,687.32
26,99.26,687.32
27,99.5,687.03
28,99.39,687.33
29,99.41,687.33
30,98.82,687.26
31,99.25,687.39
32,99.23,687.1
33,99.49,687.02
34,99.09,687.17
35,99.32,687.09
36,99.42,687.25
37,99.36,687.26
38,99.34,687.24
39,99.13,687.16
