epoch,training_acc,training_loss,L2
0,3.86,1794.91,853.0
1,4.8,1788.83,865.0
2,5.11,1786.67,878.0
3,5.75,1784.62,890.0
4,6.26,1782.24,902.0
5,6.38,1780.43,914.0
6,6.72,1778.86,925.0
7,7.35,1777.75,934.0
8,7.55,1775.57,943.0
9,7.75,1773.78,952.0
10,7.96,1773.0,960.0
11,8.36,1771.52,968.0
12,8.56,1770.58,977.0
13,8.75,1769.88,985.0
14,8.63,1768.65,993.0
15,8.84,1768.24,1001.0
16,8.92,1766.73,1008.0
17,9.15,1766.44,1016.0
18,9.36,1764.82,1025.0
19,9.39,1764.45,1033.0
20,9.53,1762.87,1041.0
21,9.71,1762.12,1049.0
22,9.88,1761.36,1058.0
23,9.66,1760.19,1065.0
24,9.97,1759.59,1073.0
25,9.92,1758.65,1081.0
26,10.02,1757.17,1089.0
27,9.95,1756.61,1097.0
28,10.15,1755.39,1105.0
29,10.1,1755.07,1112.0
30,10.23,1754.05,1120.0
31,10.31,1752.76,1128.0
32,10.27,1752.43,1136.0
33,10.35,1751.31,1143.0
34,10.3,1750.94,1151.0
35,10.46,1750.12,1159.0
36,10.23,1749.27,1167.0
37,10.77,1748.17,1174.0
38,10.66,1747.45,1181.0
39,10.51,1746.54,1189.0
40,10.5,1746.22,1196.0
41,10.63,1745.5,1203.0
42,10.85,1744.62,1210.0
43,11.1,1742.75,1219.0
44,11.14,1741.16,1226.0
45,11.31,1740.52,1233.0
46,10.89,1739.51,1241.0
47,11.37,1738.73,1248.0
48,11.2,1738.14,1255.0
49,11.32,1736.86,1261.0
50,11.45,1736.58,1269.0
51,11.8,1735.55,1276.0
52,11.92,1733.89,1283.0
53,12.2,1732.11,1289.0
54,12.43,1731.01,1296.0
55,12.04,1730.07,1302.0
56,12.39,1729.04,1310.0
57,12.62,1728.2,1316.0
58,12.34,1726.9,1323.0
59,12.45,1726.3,1329.0
60,12.41,1725.77,1336.0
61,12.57,1724.6,1342.0
62,12.62,1724.83,1348.0
63,12.59,1723.79,1354.0
64,12.64,1722.85,1360.0
65,12.36,1722.72,1366.0
66,12.79,1722.26,1372.0
67,12.83,1721.57,1378.0
68,12.92,1721.24,1385.0
69,12.5,1720.89,1391.0
70,12.79,1720.29,1397.0
71,12.76,1719.67,1403.0
72,12.47,1719.66,1410.0
73,12.96,1718.69,1416.0
74,12.86,1718.04,1422.0
75,13.05,1717.55,1428.0
76,13.11,1716.88,1435.0
77,13.08,1716.0,1440.0
78,12.66,1715.46,1445.0
79,12.79,1715.67,1452.0
80,13.13,1714.97,1458.0
81,13.17,1714.06,1464.0
82,13.63,1713.26,1472.0
83,13.84,1711.46,1477.0
84,13.81,1711.06,1481.0
85,13.9,1710.83,1487.0
86,13.74,1710.06,1493.0
87,13.83,1710.17,1499.0
88,13.34,1709.88,1505.0
89,13.94,1709.21,1511.0
90,13.93,1708.84,1517.0
91,13.67,1708.24,1522.0
92,13.73,1707.99,1527.0
93,14.0,1707.74,1532.0
94,13.96,1707.79,1538.0
95,14.11,1707.76,1544.0
96,13.5,1706.95,1549.0
97,13.66,1706.78,1554.0
98,13.96,1706.32,1560.0
99,13.96,1706.17,1566.0
