epoch,training_acc,training_loss
0,40.46,838.01
1,45.15,795.1
2,49.36,776.81
3,49.67,762.38
4,53.48,750.3
5,56.29,738.51
6,57.91,729.89
7,59.56,721.08
8,61.43,712.52
9,63.36,704.57
10,62.87,697.55
11,64.02,690.85
12,65.1,683.63
13,65.98,676.87
14,66.81,670.42
15,67.15,664.82
16,68.06,659.83
17,67.36,652.8
18,68.39,649.79
19,68.58,644.11
20,69.25,640.48
21,69.18,636.87
22,68.86,634.22
23,69.09,630.11
24,69.19,627.7
25,69.88,624.9
26,69.83,623.2
27,70.17,621.04
28,70.15,619.8
29,70.38,617.82
30,70.2,617.18
31,70.61,615.95
32,69.66,614.71
33,70.86,613.2
34,69.74,612.71
35,70.35,611.89
36,70.57,611.1
37,70.66,609.9
38,70.84,608.79
39,71.27,608.46
