epoch,training_acc,training_loss
0,36.71,844.0
1,44.74,802.28
2,44.05,783.1
3,50.49,770.15
4,52.79,757.78
5,55.5,747.77
6,55.57,737.75
7,57.93,730.25
8,59.84,723.27
9,61.33,714.28
10,59.92,708.77
11,62.76,701.35
12,63.9,695.78
13,64.2,689.91
14,65.24,683.39
15,66.46,678.0
16,66.49,672.27
17,67.3,668.29
18,67.23,662.23
19,67.84,658.83
20,68.52,653.05
21,67.26,648.95
22,69.24,645.71
23,68.6,641.04
24,69.79,638.89
25,69.84,635.48
26,69.19,632.98
27,69.47,629.56
28,70.59,628.54
29,69.76,625.2
30,70.12,623.33
31,69.68,622.78
32,70.36,620.48
33,70.21,618.94
34,69.76,617.67
35,70.83,617.09
36,70.71,616.25
37,70.42,614.63
38,70.02,613.79
39,70.38,612.52
