epoch,training_acc,training_loss
0,38.15,842.46
1,42.18,800.26
2,49.48,779.61
3,51.42,764.13
4,55.13,752.81
5,56.92,741.61
6,58.93,730.04
7,61.48,721.48
8,61.54,713.58
9,62.04,704.7
10,64.25,699.19
11,66.01,693.0
12,65.68,687.68
13,66.07,681.69
14,67.3,676.47
15,67.54,670.74
16,68.9,665.43
17,69.38,660.67
18,69.14,656.2
19,70.06,651.44
20,70.45,646.86
21,69.06,643.13
22,71.6,638.79
23,70.34,636.22
24,71.86,632.6
25,70.94,629.61
26,69.91,626.87
27,71.15,625.07
28,71.87,622.87
29,72.34,620.71
30,72.61,619.08
31,72.39,617.94
32,72.58,616.24
33,72.49,615.3
34,72.75,614.47
35,72.48,612.6
36,72.19,611.7
37,72.29,610.96
38,72.62,610.49
39,72.13,609.47
