epoch,training_acc,training_loss
0,35.68,847.51
1,44.49,802.19
2,47.82,781.46
3,49.97,766.31
4,52.1,755.09
5,54.39,745.81
6,54.81,736.48
7,56.86,728.37
8,57.39,721.05
9,59.83,715.21
10,60.16,706.16
11,60.61,700.85
12,61.42,694.83
13,62.09,686.47
14,62.93,680.65
15,62.59,674.73
16,63.92,670.76
17,64.0,664.67
18,63.81,659.41
19,64.56,655.71
20,64.21,651.49
21,65.71,646.84
22,65.25,642.84
23,65.05,641.16
24,65.69,637.51
25,66.21,635.0
26,66.3,633.2
27,65.69,631.02
28,66.04,629.38
29,66.47,628.18
30,66.4,626.14
31,67.06,624.37
32,66.32,623.59
33,67.0,622.38
34,65.27,621.15
35,66.87,619.95
36,67.65,619.31
37,66.47,618.13
38,66.99,617.73
39,67.42,616.3
