epoch,training_acc,training_loss
0,34.16,848.97
1,42.45,808.91
2,43.61,785.36
3,51.29,768.54
4,54.37,755.35
5,56.6,743.95
6,57.94,734.85
7,59.98,726.59
8,59.01,718.24
9,62.54,710.69
10,62.79,704.0
11,64.97,697.49
12,66.11,690.42
13,66.39,685.34
14,67.06,678.8
15,67.2,674.21
16,68.76,669.19
17,69.35,663.09
18,69.74,659.23
19,70.19,654.38
20,70.64,649.91
21,70.94,645.37
22,70.81,642.47
23,71.84,638.11
24,71.51,635.54
25,72.0,631.57
26,71.99,629.96
27,72.08,626.47
28,72.46,624.05
29,71.73,622.35
30,72.82,619.82
31,73.0,618.27
32,73.06,616.72
33,73.32,616.1
34,73.09,613.55
35,72.32,612.52
36,72.15,612.2
37,73.07,609.99
38,72.57,609.24
39,72.98,608.67
