epoch,training_acc,training_loss
0,39.04,837.41
1,43.99,798.62
2,47.28,782.68
3,49.96,768.47
4,54.17,757.22
5,54.85,745.21
6,57.28,734.28
7,58.24,727.39
8,60.22,717.5
9,61.06,708.53
10,62.82,700.23
11,63.6,693.27
12,63.67,685.62
13,65.55,679.29
14,65.89,672.71
15,66.21,666.22
16,67.24,660.87
17,65.78,654.98
18,67.12,650.65
19,67.92,645.3
20,67.65,641.57
21,68.22,637.83
22,68.2,634.71
23,68.66,632.02
24,69.14,629.42
25,69.3,626.43
26,68.65,625.6
27,68.46,623.21
28,68.88,620.69
29,68.34,619.65
30,68.89,618.49
31,69.81,616.56
32,69.75,616.05
33,69.74,615.37
34,69.39,613.89
35,70.04,612.96
36,69.82,611.71
37,70.08,612.17
38,69.42,610.22
39,70.17,610.13
