epoch,training_acc,training_loss
0,96.32,755.96
1,97.7,700.67
2,98.08,696.05
3,98.33,693.42
4,98.78,692.13
5,98.84,691.31
6,98.83,690.07
7,98.66,690.02
8,99.16,689.41
9,99.18,689.32
10,99.04,688.53
11,99.32,688.41
12,99.05,688.1
13,98.99,688.3
14,99.21,688.15
15,99.39,687.55
16,99.18,687.86
17,99.17,687.56
18,99.38,687.7
19,99.31,687.67
20,99.27,687.47
21,99.31,687.3
22,99.24,687.56
23,99.23,687.19
24,99.41,687.36
25,99.54,687.01
26,99.34,686.86
27,99.18,686.92
28,99.07,687.04
29,99.41,687.09
30,99.35,687.05
31,99.44,687.27
32,99.4,686.65
33,99.41,686.67
34,99.36,686.82
35,99.11,686.98
36,99.41,687.13
37,99.33,686.94
38,98.66,687.0
39,99.25,686.95
