epoch,training_acc,training_loss
0,95.16,758.73
1,96.45,702.48
2,97.63,697.0
3,98.59,694.02
4,98.31,692.42
5,98.81,691.72
6,98.39,690.77
7,99.04,690.3
8,98.79,689.7
9,99.23,689.14
10,99.31,688.87
11,99.09,688.63
12,99.26,688.62
13,99.08,688.4
14,99.22,688.07
15,99.17,688.17
16,99.12,687.66
17,99.3,687.76
18,99.24,687.66
19,99.32,687.21
20,99.32,687.56
21,99.16,687.41
22,99.21,687.05
23,99.23,687.02
24,99.45,687.06
25,99.54,687.0
26,99.28,687.18
27,99.24,687.28
28,99.36,687.36
29,99.42,687.01
30,99.33,686.92
31,99.35,686.7
32,99.46,687.04
33,99.49,686.92
34,99.45,687.02
35,99.19,687.02
36,99.56,686.72
37,99.42,687.01
38,99.39,686.85
39,99.49,686.53
