epoch,training_acc,training_loss
0,95.6,766.55
1,97.84,701.09
2,98.33,696.03
3,98.24,693.92
4,98.91,692.48
5,98.5,691.25
6,98.94,690.73
7,98.59,689.9
8,98.94,689.61
9,99.14,689.13
10,99.04,689.42
11,99.2,689.02
12,99.18,688.67
13,98.93,688.63
14,99.0,688.3
15,99.33,688.06
16,99.22,687.98
17,99.39,687.92
18,98.42,687.46
19,99.24,687.9
20,99.31,687.55
21,99.29,687.35
22,99.16,687.74
23,98.91,687.48
24,99.24,687.49
25,99.31,687.2
26,99.16,687.15
27,99.33,687.26
28,99.38,687.45
29,99.28,687.23
30,99.19,686.79
31,99.47,687.14
32,99.44,687.2
33,99.35,686.9
34,98.97,687.02
35,99.3,686.99
36,99.25,687.07
37,99.47,686.9
38,99.29,686.67
39,98.51,686.61
