epoch,training_acc,training_loss
0,95.41,776.52
1,97.64,701.16
2,98.01,695.7
3,98.17,693.43
4,98.58,691.88
5,98.95,691.31
6,98.63,690.64
7,98.88,690.33
8,98.36,689.66
9,99.04,688.99
10,99.16,689.39
11,99.27,688.64
12,98.98,688.55
13,99.36,688.36
14,99.01,688.14
15,99.38,687.81
16,99.26,688.22
17,99.26,688.19
18,99.47,687.74
19,99.4,687.55
20,99.32,687.61
21,99.25,687.55
22,99.15,687.53
23,99.11,687.69
24,99.32,687.5
25,99.19,687.17
26,99.48,686.95
27,99.44,687.29
28,99.27,687.14
29,99.3,687.35
30,99.45,687.41
31,99.39,686.92
32,99.41,687.47
33,99.46,687.49
34,98.97,687.21
35,99.41,687.06
36,99.28,687.2
37,99.19,687.43
38,99.28,687.52
39,99.3,686.71
