epoch,training_acc,training_loss
0,95.1,764.83
1,97.54,701.37
2,97.91,695.94
3,98.43,693.73
4,98.39,691.91
5,98.27,691.46
6,98.9,690.57
7,98.98,690.16
8,99.02,689.89
9,99.07,689.69
10,98.98,689.31
11,98.95,688.75
12,99.07,688.73
13,99.08,688.36
14,99.18,688.21
15,99.31,688.29
16,99.25,687.85
17,99.2,687.97
18,99.28,687.55
19,99.21,687.45
20,99.4,687.9
21,99.2,687.38
22,99.32,687.55
23,99.39,687.07
24,99.3,687.68
25,99.35,687.33
26,99.23,687.03
27,99.4,687.29
28,99.33,686.99
29,98.98,687.12
30,99.24,687.36
31,99.1,687.02
32,99.39,687.15
33,99.4,686.84
34,99.4,687.1
35,99.44,686.9
36,99.25,686.94
37,99.27,687.0
38,99.3,687.19
39,99.05,687.03
