epoch,training_acc,training_loss
0,67.83,819.97
1,77.43,747.8
2,83.48,722.91
3,84.88,714.66
4,91.73,706.32
5,91.37,697.63
6,92.54,696.54
7,93.86,694.42
8,93.84,692.98
9,93.76,692.7
10,94.23,691.45
11,95.25,690.88
12,95.21,690.07
13,95.59,689.9
14,95.37,689.65
15,94.82,689.48
16,95.38,689.49
17,95.85,688.95
18,94.29,689.08
19,94.76,688.52
20,95.34,688.29
21,95.06,688.43
22,95.51,688.54
23,94.69,688.29
24,95.04,688.23
25,95.61,688.24
26,95.23,687.86
27,95.61,688.08
28,95.74,687.89
29,96.1,687.65
30,96.06,687.58
31,95.91,687.47
32,95.3,687.97
33,95.21,687.58
34,95.55,687.76
35,95.86,688.13
36,95.51,688.0
37,96.11,687.45
38,96.01,687.59
39,96.27,687.27
