epoch,training_acc,training_loss
0,67.01,819.24
1,78.13,748.11
2,83.43,722.02
3,84.66,714.46
4,91.03,708.37
5,92.59,697.66
6,92.65,695.39
7,93.45,693.97
8,94.11,692.79
9,94.14,693.14
10,94.47,691.79
11,93.7,691.31
12,94.82,690.63
13,95.41,690.52
14,94.9,689.81
15,95.85,689.22
16,94.81,689.12
17,95.8,688.71
18,95.43,688.84
19,95.66,688.36
20,95.0,688.35
21,95.28,688.26
22,95.54,688.24
23,95.19,688.39
24,95.11,687.56
25,95.7,688.41
26,95.93,687.87
27,96.17,688.12
28,95.78,687.97
29,95.73,688.09
30,96.24,687.29
31,95.91,687.46
32,95.75,687.45
33,95.93,687.69
34,96.11,687.38
35,95.94,687.62
36,95.04,687.49
37,94.66,687.87
38,96.1,687.86
39,95.89,687.45
