epoch,training_acc,training_loss
0,66.16,821.79
1,79.39,747.28
2,83.96,724.71
3,85.1,714.93
4,85.89,710.94
5,91.43,698.69
6,93.17,695.39
7,93.41,694.44
8,93.11,693.41
9,94.1,692.49
10,94.31,691.98
11,93.88,692.32
12,93.93,692.1
13,94.72,691.04
14,94.73,690.74
15,94.8,690.76
16,94.68,690.34
17,94.7,690.15
18,95.63,689.41
19,95.26,688.8
20,94.88,689.34
21,95.11,689.16
22,95.21,688.67
23,95.87,688.48
24,95.44,688.4
25,96.23,688.29
26,95.35,687.89
27,95.52,687.98
28,95.13,688.47
29,96.05,688.29
30,95.93,687.74
31,95.91,687.55
32,96.03,687.77
33,96.12,687.83
34,96.06,687.62
35,95.57,687.04
36,96.12,687.24
37,95.7,688.41
38,96.5,687.98
39,95.83,687.26
