epoch,training_acc,training_loss
0,68.35,821.88
1,76.37,751.81
2,84.52,723.3
3,84.28,714.48
4,86.22,711.2
5,92.36,701.89
6,93.33,695.75
7,92.91,694.12
8,93.64,693.04
9,94.22,692.6
10,93.87,691.45
11,94.12,690.55
12,95.1,690.33
13,94.39,690.0
14,94.96,689.91
15,94.99,689.42
16,94.88,689.11
17,96.14,688.74
18,95.97,689.04
19,95.45,688.62
20,96.04,688.12
21,95.71,687.91
22,95.39,688.75
23,95.49,688.44
24,95.34,688.02
25,95.93,688.28
26,95.55,687.98
27,95.37,688.52
28,95.77,688.16
29,94.96,687.89
30,95.88,687.9
31,95.69,688.12
32,96.18,687.62
33,96.21,687.08
34,95.48,687.54
35,95.55,687.89
36,96.35,687.44
37,94.84,687.58
38,96.09,687.43
39,96.01,687.31
