epoch,training_acc,training_loss
0,68.27,829.78
1,76.83,749.59
2,82.48,724.7
3,85.37,714.25
4,86.27,711.17
5,91.62,701.39
6,93.02,695.95
7,94.2,694.6
8,93.22,692.95
9,94.75,691.97
10,94.54,691.11
11,94.87,690.28
12,93.38,689.91
13,94.58,689.78
14,94.53,689.27
15,95.12,689.32
16,95.4,689.32
17,95.53,688.73
18,94.14,688.64
19,95.22,688.78
20,95.44,688.8
21,95.66,688.67
22,94.87,688.65
23,96.12,688.39
24,96.16,688.18
25,95.7,687.85
26,96.07,687.94
27,96.05,688.0
28,95.07,687.76
29,95.71,687.97
30,96.18,687.45
31,95.25,688.22
32,96.03,688.06
33,96.08,687.98
34,96.05,687.71
35,95.83,687.79
36,96.53,687.58
37,96.6,687.08
38,95.64,687.46
39,96.09,687.39
