epoch,training_acc,training_loss
0,96.13,744.5
1,97.32,701.08
2,97.92,696.16
3,98.04,694.02
4,98.41,692.55
5,98.69,691.68
6,98.48,690.86
7,98.76,690.84
8,98.84,689.92
9,98.58,689.78
10,97.76,689.61
11,98.96,689.22
12,98.45,688.83
13,99.03,688.79
14,98.66,688.43
15,99.01,688.34
16,98.85,688.37
17,99.08,687.93
18,99.02,688.13
19,99.03,688.13
