epoch,training_acc,training_loss
0,94.61,756.59
1,97.26,702.1
2,97.49,696.29
3,98.3,694.19
4,98.34,692.73
5,98.78,691.88
6,98.88,690.67
7,98.91,690.31
8,98.92,689.98
9,99.03,689.54
10,98.94,689.15
11,99.0,689.04
12,99.27,688.67
13,99.29,688.35
14,98.6,687.96
15,99.44,687.99
16,99.42,687.75
17,99.31,687.49
18,99.24,687.86
19,99.31,687.37
