epoch,training_acc,training_loss
0,95.65,753.79
1,97.72,701.39
2,98.05,696.06
3,98.2,693.23
4,98.42,692.48
5,98.8,691.46
6,98.73,690.58
7,98.97,690.03
8,98.95,689.85
9,99.15,689.34
10,99.18,689.17
11,98.99,688.62
12,99.29,689.04
13,99.02,688.18
14,99.05,688.14
15,99.32,688.01
16,99.12,687.78
17,99.28,687.78
18,99.24,688.11
19,99.39,687.76
