epoch,training_acc,training_loss
0,74.0,846.44
1,79.52,788.11
2,81.52,776.84
3,81.32,770.15
4,82.52,766.76
5,83.03,763.83
6,83.31,761.97
7,83.33,760.87
8,83.25,759.13
9,83.73,757.82
10,83.91,756.65
11,86.81,754.71
12,87.75,739.34
13,88.97,734.16
14,89.84,730.96
15,89.0,728.57
16,89.89,726.32
17,89.53,725.35
18,90.19,723.7
19,90.22,722.58
