epoch,training_acc,training_loss
0,36.87,837.78
1,43.15,799.96
2,47.25,781.39
3,51.3,767.57
4,54.37,754.34
5,54.19,743.45
6,57.38,733.13
7,58.88,725.97
8,60.8,717.06
9,60.48,708.19
10,61.92,701.24
11,61.81,694.52
12,63.74,687.63
13,64.81,682.01
14,65.39,675.39
15,66.99,669.67
16,66.75,663.92
17,67.96,658.64
18,66.87,653.33
19,67.74,648.06
