epoch,training_acc,training_loss
0,73.22,844.65
1,80.36,799.52
2,83.7,765.36
3,85.22,755.15
4,85.92,749.41
5,86.8,744.91
6,87.84,741.04
7,88.25,738.31
8,88.62,735.63
9,88.68,733.52
10,88.87,731.2
11,88.56,729.59
12,89.48,728.65
13,89.83,727.13
14,90.22,725.44
15,90.2,723.29
16,90.13,722.67
17,90.61,721.14
18,90.99,720.2
19,90.91,719.11
