epoch,training_acc,training_loss
0,93.89,786.99
1,97.21,704.9
2,97.81,697.76
3,98.22,694.99
4,98.44,692.99
5,98.42,691.68
6,98.33,691.18
7,98.79,690.71
8,98.33,690.26
9,98.86,689.93
10,98.72,689.75
11,98.86,689.26
12,98.86,688.67
13,98.9,688.47
14,98.85,688.52
15,99.08,688.6
16,98.92,687.94
17,98.61,688.1
18,98.91,688.22
19,98.95,687.85
