epoch,training_acc,training_loss
0,96.37,752.72
1,97.93,700.55
2,98.44,695.44
3,98.43,693.19
4,98.34,691.96
5,98.88,691.03
6,99.03,690.36
7,99.16,689.84
8,99.15,689.18
9,99.14,689.17
10,97.9,688.73
11,99.36,688.42
12,99.4,688.25
13,99.14,688.05
14,99.35,688.07
15,99.25,687.97
16,98.97,687.75
17,99.38,687.8
18,99.29,687.51
19,99.45,687.65
