epoch,training_acc,training_loss
0,68.04,852.14
1,79.18,745.4
2,84.05,722.17
3,84.64,713.49
4,85.59,710.65
5,87.03,708.41
6,87.72,707.26
7,93.2,699.83
8,94.05,693.95
9,94.66,692.22
10,93.1,692.02
11,94.15,691.46
12,94.41,691.11
13,94.42,690.74
14,94.71,691.25
15,93.99,690.56
16,94.79,690.01
17,94.76,690.35
18,94.39,690.05
19,92.66,690.02
