epoch,training_acc,training_loss
0,37.28,844.83
1,37.97,806.46
2,45.65,790.92
3,48.46,775.84
4,50.0,763.1
5,52.68,753.34
6,54.12,746.22
7,55.44,738.19
8,56.62,730.98
9,58.19,723.51
10,57.22,716.21
11,58.47,710.2
12,60.78,703.79
13,59.95,698.22
14,61.84,692.43
15,62.42,687.29
16,62.67,681.82
17,62.14,676.78
18,61.21,671.24
19,62.96,666.81
