epoch,training_acc,training_loss
0,32.36,850.52
1,39.21,819.86
2,41.31,806.16
3,43.2,795.33
4,45.1,783.73
5,51.27,768.94
6,55.35,751.36
7,57.15,738.78
8,59.38,727.29
9,60.89,717.38
10,63.62,710.43
11,64.08,701.95
12,65.55,695.49
13,62.46,690.24
14,67.15,685.53
15,66.54,679.24
16,67.58,673.59
17,68.57,667.82
18,68.99,662.94
19,68.68,658.14
20,69.52,653.26
21,70.35,649.29
22,70.33,645.81
23,70.36,640.98
24,71.14,637.91
25,71.13,635.68
26,70.97,631.6
27,71.06,628.93
28,71.01,626.61
29,71.96,624.6
30,71.66,622.75
31,71.83,620.67
32,71.57,619.92
33,71.79,618.27
34,71.29,616.48
35,72.48,615.04
36,72.0,614.53
37,72.1,614.22
38,72.32,611.86
39,72.83,611.15
