epoch,training_acc,training_loss
0,34.27,851.41
1,41.0,812.93
2,44.95,793.01
3,48.2,778.57
4,51.19,767.94
5,50.99,756.3
6,52.88,745.7
7,55.75,738.4
8,57.92,728.88
9,59.93,720.84
10,61.15,713.88
11,61.06,706.32
12,62.97,699.77
13,63.51,692.78
14,64.54,686.74
15,65.81,681.13
16,66.16,675.05
17,64.08,669.86
18,64.78,663.95
19,67.37,659.69
20,66.77,654.16
21,67.46,649.93
22,67.84,645.75
23,68.27,642.72
24,68.75,638.78
25,67.64,635.85
26,68.69,632.66
27,68.09,630.17
28,68.27,627.82
29,69.21,626.47
30,69.16,624.73
31,69.18,622.95
32,69.07,621.53
33,69.18,618.91
34,69.54,618.76
35,69.1,618.01
36,69.56,616.46
37,69.74,616.41
38,69.85,615.07
39,68.69,613.96
