epoch,training_acc,training_loss
0,34.12,849.02
1,40.23,813.63
2,42.08,796.13
3,46.8,782.9
4,49.6,770.99
5,51.03,761.2
6,54.81,750.66
7,55.45,741.8
8,57.26,733.48
9,59.38,724.18
10,60.67,716.43
11,61.4,709.02
12,61.38,702.24
13,63.34,696.57
14,63.74,689.9
15,65.24,684.54
16,65.0,678.1
17,66.24,672.17
18,66.33,666.93
19,67.2,662.14
20,67.44,656.69
21,68.59,652.21
22,67.97,647.68
23,68.78,643.7
24,68.65,641.21
25,69.12,636.26
26,69.21,634.0
27,68.28,631.69
28,69.08,628.71
29,69.45,627.32
30,68.44,624.74
31,69.47,623.45
32,70.02,620.75
33,70.1,620.13
34,70.6,618.58
35,70.5,617.57
36,70.16,616.57
37,70.5,615.81
38,70.57,614.43
39,70.52,612.78
