epoch,training_acc,training_loss
0,36.65,844.41
1,41.1,809.3
2,42.34,795.32
3,47.9,783.82
4,49.39,771.41
5,52.27,761.07
6,54.2,751.45
7,56.11,744.08
8,57.35,734.54
9,60.04,726.3
10,60.71,718.65
11,62.53,713.8
12,61.16,705.92
13,62.97,700.17
14,64.83,693.63
15,65.4,690.47
16,66.1,683.26
17,66.87,678.03
18,67.26,672.34
19,68.51,668.33
20,68.82,662.8
21,68.86,658.33
22,69.47,653.13
23,68.72,649.51
24,70.31,646.79
25,70.24,642.29
26,70.83,638.8
27,70.33,635.75
28,69.96,632.69
29,71.02,630.34
30,70.67,628.31
31,71.35,625.4
32,70.48,623.66
33,71.09,621.48
34,71.42,620.29
35,71.16,619.17
36,71.09,617.1
37,71.45,616.53
38,71.48,615.91
39,71.82,614.42
