epoch,training_acc,training_loss
0,29.74,861.36
1,38.88,819.63
2,44.27,796.37
3,45.41,781.81
4,49.86,769.2
5,51.24,759.1
6,53.64,750.14
7,54.87,741.65
8,57.58,733.35
9,57.94,727.03
10,59.26,719.59
11,59.35,713.87
12,60.91,707.13
13,59.83,701.1
14,63.19,695.85
15,64.55,688.73
16,64.03,683.21
17,65.24,677.99
18,65.4,672.72
19,65.5,669.13
20,65.85,662.57
21,66.84,658.42
22,66.57,654.03
23,66.11,649.81
24,67.01,647.25
25,67.73,643.37
26,67.71,640.16
27,67.54,638.34
28,67.99,635.81
29,67.2,634.37
30,68.28,631.28
31,68.59,628.52
32,68.33,627.53
33,67.51,625.62
34,68.23,624.73
35,68.04,622.62
36,68.32,622.0
37,68.36,620.66
38,68.62,619.78
39,68.86,618.67
