epoch,training_acc,training_loss,L2
0,72.01,865.04,851.0
1,76.92,802.69,879.0
2,76.77,789.07,904.0
3,78.86,783.79,925.0
4,83.11,773.52,948.0
5,85.53,751.38,972.0
6,87.47,744.45,997.0
7,87.39,741.08,1021.0
8,87.6,737.3,1043.0
9,88.5,734.27,1064.0
10,88.03,732.49,1089.0
11,89.08,731.16,1110.0
12,89.24,730.28,1135.0
13,89.47,727.51,1157.0
14,89.26,726.37,1179.0
15,89.73,725.13,1202.0
16,90.12,723.53,1224.0
17,90.05,722.79,1247.0
18,89.5,721.41,1270.0
19,90.49,721.03,1295.0
20,90.3,719.63,1316.0
21,90.55,719.13,1339.0
22,90.86,718.34,1364.0
23,90.59,716.87,1386.0
24,90.82,716.61,1411.0
25,90.91,715.58,1436.0
26,91.06,714.82,1461.0
27,91.06,713.76,1484.0
28,90.58,712.93,1509.0
29,91.52,712.12,1533.0
30,91.36,712.21,1560.0
31,91.43,711.1,1582.0
32,90.81,710.44,1608.0
33,91.41,709.68,1631.0
34,91.09,708.98,1653.0
35,91.41,709.02,1677.0
36,91.36,708.58,1703.0
37,91.4,707.93,1727.0
38,91.09,707.58,1750.0
39,91.39,707.49,1775.0
