epoch,training_acc,training_loss
0,70.64,799.98
1,82.55,730.54
2,83.93,716.85
3,90.8,702.95
4,92.43,697.23
5,92.96,695.51
6,93.81,694.49
7,93.45,693.21
8,91.74,692.43
9,94.05,692.27
10,94.98,691.7
11,94.49,690.62
12,95.36,690.13
13,95.08,689.68
14,95.2,689.22
15,95.9,689.34
16,94.78,688.91
17,95.5,688.78
18,96.15,688.43
19,95.83,688.44
20,95.19,688.02
21,95.61,688.34
22,95.67,687.69
23,95.98,687.61
24,95.48,687.8
25,96.4,687.64
26,96.64,687.35
27,95.88,687.29
28,96.07,687.23
29,96.04,687.44
30,95.62,687.48
31,96.01,687.32
32,95.55,687.2
33,95.85,687.13
34,96.62,687.4
35,96.45,687.14
36,96.1,687.02
37,95.99,687.39
38,96.35,687.09
39,96.0,687.32
