epoch,training_acc,training_loss
0,73.1,788.06
1,82.48,727.9
2,89.47,715.64
3,90.36,700.72
4,92.27,697.77
5,93.06,695.37
6,93.98,693.91
7,93.98,692.93
8,94.54,692.17
9,94.47,691.92
10,94.34,691.03
11,94.42,691.15
12,94.15,690.93
13,94.85,690.66
14,94.3,690.24
15,94.22,689.86
16,95.42,689.94
17,94.47,689.5
18,94.55,689.83
19,94.47,689.35
20,95.57,689.49
21,95.15,689.24
22,94.96,689.31
23,94.34,689.42
24,95.35,689.02
25,95.23,689.3
26,95.5,688.67
27,96.21,688.1
28,96.31,687.99
29,95.91,688.16
30,96.06,687.85
31,96.59,687.76
32,96.61,687.81
33,95.96,687.62
34,96.29,687.41
35,95.17,687.52
36,96.38,687.35
37,95.29,687.56
38,95.57,687.73
39,96.52,687.57
