epoch,training_acc,training_loss
0,75.36,790.63
1,81.75,734.83
2,85.4,722.41
3,91.28,702.06
4,93.43,697.33
5,91.78,695.4
6,92.63,693.94
7,93.44,692.95
8,93.92,692.73
9,94.62,692.09
10,93.93,691.11
11,95.19,690.33
12,95.94,689.8
13,95.55,689.51
14,95.54,689.52
15,95.55,689.19
16,95.58,688.97
17,94.52,688.93
18,95.27,688.73
19,95.06,688.92
20,95.67,688.34
21,95.77,688.45
22,95.62,688.37
23,95.43,688.21
24,95.57,688.08
25,96.15,688.04
26,96.02,688.08
27,95.5,687.85
28,95.6,687.65
29,95.72,687.68
30,96.04,687.7
31,96.36,687.6
32,96.07,687.43
33,96.3,687.44
34,95.98,687.3
35,96.54,687.26
36,96.18,687.43
37,96.21,687.47
38,96.22,687.1
39,95.23,687.25
