epoch,training_acc,training_loss
0,69.25,805.96
1,81.14,741.14
2,89.21,722.02
3,91.69,701.51
4,92.11,698.08
5,93.8,695.97
6,93.92,694.99
7,93.62,693.72
8,93.51,692.77
9,95.07,691.8
10,95.0,690.66
11,95.51,690.42
12,95.26,689.69
13,94.88,689.69
14,95.46,689.13
15,95.34,688.95
16,95.58,689.24
17,95.61,688.56
18,95.73,688.46
19,96.01,688.49
20,95.98,688.17
21,96.05,688.11
22,95.73,688.21
23,95.62,688.15
24,95.69,687.78
25,96.2,687.93
26,95.71,687.79
27,96.15,687.68
28,95.62,687.36
29,96.41,687.49
30,96.37,687.41
31,96.44,687.42
32,95.76,687.41
33,95.19,687.47
34,96.48,687.37
35,96.31,686.98
36,95.95,687.64
37,95.68,687.52
38,96.42,687.18
39,96.71,687.68
