epoch,training_acc,training_loss
0,72.3,788.55
1,83.28,724.84
2,91.7,711.45
3,91.63,699.11
4,92.19,696.9
5,92.13,695.31
6,92.78,693.97
7,94.4,693.23
8,94.15,692.05
9,94.96,690.99
10,94.32,690.5
11,95.04,690.07
12,95.93,690.09
13,95.31,689.86
14,95.76,689.61
15,95.09,688.88
16,95.91,689.27
17,95.32,688.79
18,95.18,688.73
19,95.85,688.59
20,95.41,688.06
21,96.07,688.45
22,95.1,687.95
23,95.46,688.18
24,95.49,688.02
25,95.9,687.86
26,95.66,687.73
27,95.64,687.78
28,95.52,687.72
29,95.26,687.99
30,96.15,687.78
31,96.26,687.49
32,95.97,687.7
33,96.28,687.95
34,96.11,687.43
35,96.11,687.38
36,95.9,687.53
37,96.34,687.7
38,96.04,687.36
39,95.01,687.27
