epoch,training_acc,training_loss,L2
0,4.45,1795.74,867.0
1,6.27,1789.21,880.0
2,7.09,1784.56,889.0
3,7.43,1782.14,896.0
4,8.24,1780.58,903.0
5,8.5,1778.67,911.0
6,9.52,1777.42,918.0
7,10.09,1774.82,926.0
8,10.82,1772.98,934.0
9,10.88,1771.87,942.0
10,11.28,1770.4,950.0
11,10.75,1769.32,958.0
12,11.48,1768.3,966.0
13,11.58,1767.13,974.0
14,11.69,1766.16,982.0
15,12.59,1765.19,989.0
16,12.8,1764.26,997.0
17,13.12,1763.48,1005.0
18,13.05,1762.24,1013.0
19,12.81,1760.95,1021.0
20,13.83,1760.04,1029.0
21,13.56,1759.76,1036.0
22,13.71,1758.43,1044.0
23,13.7,1757.51,1052.0
24,12.85,1756.6,1060.0
25,14.35,1755.83,1068.0
26,14.31,1755.05,1076.0
27,13.82,1753.8,1084.0
28,13.44,1752.98,1091.0
29,14.44,1752.01,1099.0
30,14.58,1750.61,1107.0
31,14.39,1749.96,1115.0
32,14.79,1748.75,1123.0
33,14.35,1747.76,1131.0
34,14.86,1747.4,1138.0
35,15.11,1746.06,1146.0
36,15.08,1745.24,1153.0
37,14.96,1744.27,1161.0
38,15.51,1743.42,1169.0
39,15.24,1743.07,1176.0
40,15.49,1741.96,1183.0
41,15.61,1741.6,1190.0
42,15.23,1741.05,1198.0
43,15.84,1739.86,1205.0
44,15.67,1738.77,1212.0
45,15.3,1738.2,1220.0
46,15.5,1737.56,1227.0
47,15.93,1736.82,1234.0
48,15.89,1735.96,1241.0
49,15.87,1735.81,1248.0
50,16.23,1735.05,1255.0
51,15.93,1734.4,1262.0
52,16.05,1734.17,1268.0
53,15.93,1733.53,1275.0
54,16.11,1732.96,1282.0
55,16.16,1732.26,1289.0
56,16.44,1731.49,1295.0
57,16.76,1731.11,1302.0
58,16.37,1730.47,1308.0
59,16.14,1730.11,1315.0
60,16.65,1729.7,1322.0
61,16.52,1729.17,1328.0
62,16.3,1728.99,1335.0
63,16.77,1728.23,1341.0
64,16.59,1727.59,1347.0
65,16.66,1727.61,1354.0
66,16.26,1726.83,1359.0
67,16.61,1726.61,1365.0
68,17.0,1726.23,1372.0
69,16.57,1725.7,1378.0
70,16.78,1725.37,1384.0
71,16.64,1725.07,1390.0
72,16.68,1724.4,1396.0
73,16.62,1724.39,1402.0
74,17.21,1723.57,1408.0
75,17.11,1723.0,1414.0
76,16.96,1722.93,1420.0
77,16.89,1722.51,1425.0
78,17.11,1722.2,1431.0
79,17.04,1721.38,1437.0
80,16.77,1721.3,1443.0
81,16.9,1721.2,1449.0
82,16.93,1720.63,1454.0
83,16.8,1720.34,1460.0
84,17.25,1719.84,1466.0
85,17.37,1719.72,1472.0
86,17.02,1719.46,1477.0
87,16.96,1719.26,1483.0
88,17.11,1718.93,1489.0
89,17.7,1718.79,1494.0
90,17.49,1718.51,1500.0
91,17.03,1717.78,1506.0
92,17.16,1717.69,1511.0
93,17.63,1717.49,1517.0
94,17.37,1716.91,1522.0
95,17.39,1716.93,1528.0
96,17.29,1716.38,1533.0
97,17.41,1716.27,1539.0
98,17.53,1715.89,1544.0
99,17.68,1716.18,1550.0
