epoch,training_acc,training_loss,L2
0,4.63,1792.83,862.0
1,6.35,1784.07,875.0
2,5.32,1778.59,888.0
3,8.52,1774.3,899.0
4,8.7,1770.81,910.0
5,9.92,1768.14,920.0
6,9.2,1765.82,929.0
7,10.04,1764.5,938.0
8,10.13,1762.65,947.0
9,10.9,1760.62,956.0
10,11.18,1759.22,965.0
11,11.85,1757.76,973.0
12,11.55,1756.35,981.0
13,10.68,1755.45,989.0
14,12.3,1753.82,998.0
15,12.55,1752.19,1006.0
16,12.63,1751.11,1015.0
17,12.17,1750.09,1023.0
18,13.02,1748.68,1031.0
19,13.59,1747.22,1040.0
20,11.87,1746.15,1048.0
21,13.31,1744.75,1056.0
22,13.97,1743.71,1064.0
23,13.49,1742.2,1072.0
24,13.77,1741.05,1080.0
25,13.88,1740.13,1088.0
26,13.97,1738.86,1097.0
27,14.36,1737.02,1105.0
28,14.15,1736.09,1113.0
29,14.31,1735.09,1121.0
30,14.94,1733.28,1130.0
31,14.97,1731.87,1138.0
32,15.03,1731.06,1146.0
33,14.89,1729.89,1154.0
34,14.66,1728.76,1162.0
35,14.96,1727.73,1170.0
36,15.13,1726.16,1178.0
37,15.55,1724.76,1186.0
38,15.44,1723.38,1194.0
39,16.1,1721.85,1201.0
40,16.07,1720.78,1209.0
41,15.93,1720.06,1217.0
42,15.59,1718.33,1225.0
43,15.56,1717.43,1232.0
44,15.87,1716.9,1240.0
45,15.86,1715.73,1247.0
46,16.32,1714.15,1255.0
47,16.42,1713.33,1262.0
48,15.94,1712.42,1269.0
49,15.99,1711.17,1277.0
50,16.4,1711.17,1284.0
51,16.38,1710.19,1291.0
52,16.75,1708.88,1298.0
53,16.4,1708.62,1305.0
54,16.52,1707.27,1312.0
55,16.59,1706.65,1319.0
56,16.52,1706.48,1326.0
57,16.91,1705.47,1333.0
58,16.58,1704.54,1339.0
59,17.0,1703.88,1347.0
60,16.81,1703.03,1353.0
61,17.03,1702.46,1359.0
62,16.71,1702.07,1366.0
63,16.61,1701.16,1372.0
64,17.05,1700.29,1379.0
65,16.92,1699.83,1385.0
66,16.84,1699.11,1392.0
67,16.94,1698.06,1398.0
68,16.32,1697.5,1404.0
69,17.19,1697.34,1411.0
70,17.47,1696.38,1417.0
71,17.36,1695.22,1424.0
72,17.32,1694.44,1430.0
73,17.45,1693.84,1436.0
74,17.13,1693.04,1442.0
75,17.52,1692.32,1449.0
76,17.49,1691.46,1454.0
77,17.62,1691.01,1461.0
78,17.73,1690.49,1467.0
79,17.43,1690.03,1473.0
80,17.94,1689.55,1480.0
81,17.71,1688.56,1485.0
82,17.71,1688.5,1492.0
83,17.55,1687.66,1498.0
84,17.86,1687.09,1503.0
85,17.9,1686.78,1509.0
86,17.89,1685.75,1514.0
87,18.18,1685.64,1521.0
88,17.28,1684.98,1526.0
89,17.44,1685.0,1532.0
90,17.99,1684.11,1538.0
91,17.89,1683.59,1544.0
92,17.74,1682.99,1549.0
93,18.09,1682.53,1555.0
94,17.51,1682.3,1560.0
95,17.71,1682.29,1566.0
96,17.63,1682.03,1572.0
97,17.9,1681.07,1577.0
98,17.88,1681.02,1583.0
99,17.84,1680.07,1588.0
