epoch,training_acc,training_loss,L2
0,35.84,869.51,860.0
1,42.62,830.5,894.0
2,43.22,813.44,929.0
3,51.18,797.1,965.0
4,54.39,783.94,1000.0
5,54.93,770.73,1034.0
6,57.79,760.76,1065.0
7,59.63,751.01,1096.0
8,61.84,744.46,1125.0
9,62.38,736.5,1155.0
10,62.12,730.62,1185.0
11,63.06,725.2,1216.0
12,65.45,718.83,1248.0
13,65.41,713.89,1278.0
14,66.59,709.35,1310.0
15,69.68,703.13,1340.0
16,69.84,699.51,1371.0
17,69.98,694.97,1402.0
18,71.11,690.67,1432.0
19,72.22,686.7,1463.0
20,72.6,683.42,1494.0
21,73.01,679.2,1524.0
22,73.86,675.83,1554.0
23,74.41,672.14,1585.0
24,74.73,669.59,1615.0
25,74.47,665.56,1646.0
26,76.07,662.79,1676.0
27,75.09,659.36,1705.0
28,76.12,656.26,1736.0
29,76.77,653.71,1767.0
30,77.25,651.14,1797.0
31,76.68,648.02,1825.0
32,76.87,646.54,1855.0
33,77.54,643.39,1883.0
34,77.77,641.39,1912.0
35,77.69,639.04,1940.0
36,77.76,636.82,1966.0
37,78.16,635.0,1992.0
38,77.79,633.85,2020.0
39,78.14,633.13,2047.0
