epoch,training_acc,training_loss,L2
0,31.19,881.7,852.0
1,40.3,844.69,902.0
2,46.52,820.66,947.0
3,48.64,799.55,989.0
4,48.82,781.64,1028.0
5,56.53,767.45,1065.0
6,58.93,756.29,1101.0
7,60.49,745.99,1135.0
8,63.57,736.99,1168.0
9,63.76,730.47,1200.0
10,64.91,722.74,1231.0
11,66.56,719.21,1262.0
12,67.68,714.16,1293.0
13,67.57,708.2,1324.0
14,69.65,704.0,1355.0
15,68.72,698.63,1387.0
16,71.02,694.71,1417.0
17,71.16,691.05,1449.0
18,72.35,686.17,1479.0
19,73.23,682.22,1510.0
20,73.44,678.85,1542.0
21,72.77,674.99,1573.0
22,73.3,671.39,1604.0
23,74.97,669.2,1635.0
24,75.73,664.69,1665.0
25,74.71,662.3,1695.0
26,76.29,659.04,1724.0
27,76.52,656.33,1754.0
28,76.44,653.74,1785.0
29,75.97,651.31,1815.0
30,77.42,649.44,1846.0
31,76.14,646.32,1875.0
32,77.67,644.33,1904.0
33,77.41,642.36,1933.0
34,77.77,640.57,1962.0
35,78.23,638.89,1991.0
36,78.38,637.07,2020.0
37,78.15,634.89,2047.0
38,78.36,633.75,2075.0
39,77.83,632.37,2102.0
