epoch,training_acc,training_loss,L2
0,73.93,844.74,847.0
1,76.04,800.35,873.0
2,82.5,774.9,903.0
3,85.37,757.65,930.0
4,86.34,749.51,952.0
5,86.51,744.76,973.0
6,87.76,740.87,994.0
7,87.86,740.0,1017.0
8,88.75,735.41,1037.0
9,89.14,733.19,1058.0
10,88.73,731.55,1080.0
11,88.8,730.03,1101.0
12,89.37,727.91,1122.0
13,90.31,726.21,1143.0
14,90.05,725.15,1166.0
15,90.33,724.29,1189.0
16,90.61,721.82,1211.0
17,90.85,721.33,1235.0
18,90.23,720.58,1257.0
19,90.68,719.32,1279.0
20,91.04,718.61,1305.0
21,90.92,717.68,1329.0
22,91.26,716.17,1353.0
23,91.13,715.44,1375.0
24,90.92,714.59,1398.0
25,91.49,714.36,1422.0
26,91.21,713.6,1447.0
27,91.43,712.76,1472.0
28,91.22,712.96,1498.0
29,91.37,712.32,1523.0
30,91.46,711.11,1546.0
31,91.4,710.03,1569.0
32,91.89,709.9,1595.0
33,91.8,709.32,1619.0
34,91.11,709.05,1643.0
35,91.92,708.18,1666.0
36,92.23,707.19,1687.0
37,91.88,707.07,1710.0
38,91.62,706.19,1732.0
39,91.44,705.95,1756.0
