epoch,training_acc,training_loss
0,96.85,746.91
1,98.31,697.52
2,98.79,693.64
3,98.47,692.03
4,99.03,691.05
5,98.85,690.28
6,98.75,689.85
7,99.16,689.63
8,99.37,689.06
9,99.09,688.84
10,99.2,688.7
11,99.37,688.28
12,99.29,688.35
13,99.09,687.89
14,99.26,687.71
15,99.37,687.87
16,99.39,687.6
17,99.36,687.46
18,99.48,687.47
19,99.55,687.35
20,99.5,687.23
21,99.32,687.26
22,99.45,687.3
23,99.28,687.1
24,99.02,686.94
25,99.22,687.06
26,99.44,687.44
27,99.39,687.06
28,99.31,687.17
29,99.29,687.31
30,99.31,687.45
31,99.57,687.05
32,99.01,686.92
33,99.42,687.12
34,99.41,687.21
35,99.41,687.03
36,99.11,686.78
37,99.24,686.96
38,99.26,687.54
39,99.55,687.22
