epoch,training_acc,training_loss
0,87.24,786.77
1,97.79,705.61
2,98.37,694.51
3,98.83,692.65
4,99.06,691.46
5,99.07,690.79
6,99.04,689.77
7,99.12,689.65
8,99.26,689.28
9,99.25,688.87
10,99.32,688.43
11,99.05,688.47
12,99.21,688.08
13,99.19,688.05
14,99.24,688.01
15,99.45,687.6
16,98.44,687.56
17,99.47,687.86
18,99.26,687.56
19,99.39,687.48
20,99.56,687.44
21,99.51,687.42
22,99.44,687.24
23,99.18,687.28
24,99.43,687.16
25,99.41,687.1
26,99.37,687.02
27,99.51,686.92
28,99.49,687.04
29,99.37,687.35
30,99.42,687.12
31,99.29,686.94
32,99.42,686.96
33,99.4,687.16
34,99.37,687.25
35,99.58,687.05
36,99.49,686.92
37,99.44,687.0
38,99.18,686.95
39,99.47,686.85
