epoch,training_acc,training_loss
0,85.84,886.61
1,95.89,716.49
2,98.16,696.59
3,98.85,693.13
4,98.83,691.88
5,99.05,690.93
6,99.23,690.0
7,99.17,689.52
8,98.24,689.04
9,99.25,689.0
10,99.24,688.46
11,99.37,688.44
12,99.08,688.23
13,98.76,688.03
14,99.23,688.07
15,99.19,687.95
16,99.45,687.73
17,99.26,687.85
18,99.29,687.91
19,98.93,687.46
20,99.32,687.57
21,99.39,687.23
22,99.34,687.33
23,99.25,687.42
24,99.4,687.45
25,99.36,687.22
26,99.5,687.31
27,99.41,687.3
28,99.39,687.02
29,99.21,687.02
30,99.29,686.82
31,99.23,687.14
32,99.28,687.26
33,99.33,687.01
34,99.09,687.0
35,99.46,687.15
36,99.25,686.94
37,99.42,687.01
38,99.38,687.02
39,99.4,686.77
