epoch,training_acc,training_loss
0,96.73,749.88
1,97.5,700.8
2,96.97,696.13
3,98.36,693.68
4,98.77,692.3
5,98.81,691.3
6,98.89,690.59
7,98.8,690.06
8,98.8,689.83
9,99.0,689.53
10,99.15,689.05
11,99.32,688.83
12,99.1,688.69
13,99.26,688.51
14,99.35,688.38
15,99.33,688.13
16,99.29,687.92
17,99.29,687.92
18,99.29,687.67
19,99.52,687.79
20,99.3,687.67
21,99.47,687.74
22,99.0,687.6
23,99.22,687.65
24,99.37,687.45
25,99.26,687.2
26,99.3,687.45
27,99.31,687.31
28,99.35,687.46
29,99.08,687.38
30,99.48,687.17
31,99.07,687.32
32,99.31,686.99
33,99.37,687.27
34,99.55,687.39
35,99.48,687.04
36,99.18,687.1
37,99.38,687.06
38,99.49,687.09
39,99.38,686.98
