epoch,training_acc,training_loss
0,83.8,790.77
1,95.14,744.93
2,97.91,698.99
3,97.74,694.44
4,98.6,692.33
5,98.04,691.32
6,98.93,690.65
7,97.92,689.92
8,99.32,689.56
9,99.26,688.93
10,99.22,688.89
11,98.83,688.49
12,99.4,688.23
13,98.94,688.39
14,99.17,688.0
15,99.36,687.82
16,99.51,687.77
17,99.23,687.74
18,99.5,687.61
19,99.44,687.44
20,99.33,687.56
21,99.35,687.24
22,99.36,687.32
23,99.45,687.44
24,99.46,687.37
25,99.36,687.05
26,99.53,687.18
27,99.51,686.85
28,99.39,687.29
29,99.57,686.91
30,99.29,687.12
31,99.46,687.05
32,99.38,686.94
33,99.08,686.79
34,99.59,686.72
35,99.51,686.75
36,99.44,686.74
37,99.51,686.68
38,99.47,686.77
39,99.51,687.11
