epoch,training_acc,training_loss
0,96.05,781.43
1,97.97,700.63
2,98.24,695.38
3,98.43,692.93
4,98.59,691.79
5,98.67,690.83
6,98.92,690.35
7,98.45,689.58
8,99.33,689.32
9,99.08,688.8
10,98.61,688.48
11,99.22,688.36
12,99.18,688.03
13,99.43,688.07
14,99.36,688.04
15,99.33,687.9
16,99.4,687.59
17,99.33,687.75
18,99.34,687.32
19,99.26,687.43
20,99.34,687.74
21,99.38,687.65
22,99.28,687.33
23,99.41,687.05
24,99.31,687.34
25,99.32,687.33
26,99.41,687.08
27,99.46,687.31
28,99.59,687.23
29,99.53,686.88
30,99.36,687.11
31,99.47,687.05
32,99.29,687.11
33,99.47,686.96
34,99.47,687.18
35,99.55,687.22
36,99.48,687.07
37,99.42,686.96
38,99.53,686.85
39,99.62,686.7
