epoch,training_acc,training_loss
0,96.17,741.51
1,96.42,699.07
2,98.6,694.63
3,98.46,692.69
4,98.75,691.46
5,98.88,690.96
6,98.98,690.16
7,99.14,689.74
8,98.88,689.22
9,99.32,688.84
10,99.01,688.83
11,99.13,688.62
12,99.42,688.07
13,98.99,688.12
14,99.37,688.08
15,99.39,687.63
16,99.43,687.58
17,99.36,687.72
18,99.28,687.7
19,99.31,687.5
20,99.37,687.34
21,99.48,687.18
22,99.11,687.23
23,99.32,687.12
24,99.38,687.5
25,99.48,687.03
26,99.23,687.29
27,99.54,687.07
28,99.46,687.09
29,99.34,687.27
30,99.39,687.27
31,99.44,687.07
32,99.51,687.24
33,98.93,687.13
34,99.14,686.95
35,99.37,686.95
36,99.46,687.07
37,99.09,687.28
38,99.32,687.09
39,99.39,686.82
