epoch,training_acc,training_loss
0,95.62,781.79
1,97.94,699.72
2,98.3,694.55
3,98.01,692.48
4,98.48,691.22
5,99.04,690.52
6,99.16,690.0
7,99.21,689.73
8,99.08,689.34
9,98.85,688.79
10,99.19,688.56
11,99.06,688.36
12,99.43,688.15
13,99.34,687.99
14,99.31,688.13
15,99.55,687.84
16,99.37,687.56
17,99.33,687.33
18,98.95,687.42
19,98.96,687.55
20,99.33,687.29
21,99.41,687.5
22,99.36,687.3
23,99.23,687.58
24,99.46,687.24
25,99.32,687.11
26,99.48,687.3
27,99.07,687.03
28,99.47,687.23
29,99.27,687.17
30,99.35,687.1
31,99.29,686.98
32,98.86,687.12
33,99.24,686.99
34,99.42,686.98
35,99.34,686.88
36,99.5,686.92
37,99.28,686.65
38,99.17,687.01
39,99.44,687.03
