epoch,training_acc,training_loss
0,97.0,739.57
1,98.08,697.74
2,98.37,694.32
3,98.46,692.22
4,98.68,691.35
5,99.01,690.7
6,99.15,690.0
7,99.11,689.58
8,99.35,689.42
9,99.37,689.12
10,99.4,688.5
11,99.16,688.58
12,99.26,688.3
13,98.88,688.25
14,99.24,688.21
15,99.42,687.85
16,99.26,687.69
17,99.02,687.56
18,99.51,687.9
19,99.25,687.29
20,99.51,687.37
21,99.13,687.43
22,99.45,687.6
23,99.4,687.67
24,99.46,687.46
25,99.43,687.17
26,99.35,687.18
27,99.27,687.07
28,98.91,687.1
29,99.45,687.28
30,99.56,687.11
31,99.36,687.05
32,99.36,687.08
33,99.23,687.06
34,99.28,686.93
35,99.36,686.83
36,99.29,687.3
37,99.51,687.4
38,99.46,687.03
39,99.24,687.1
