epoch,training_acc,training_loss
0,96.5,746.85
1,97.34,700.04
2,98.59,694.97
3,98.73,692.74
4,98.55,691.71
5,98.89,690.64
6,98.84,690.41
7,98.02,689.69
8,99.16,689.31
9,99.22,688.87
10,99.35,688.59
11,98.88,688.39
12,98.82,688.29
13,99.24,688.16
14,99.19,687.99
15,99.39,687.9
16,99.19,687.94
17,99.2,687.77
18,99.32,687.83
19,99.32,687.52
20,99.39,687.43
21,99.28,687.25
22,99.46,687.35
23,99.38,687.42
24,99.44,687.31
25,99.4,687.33
26,99.48,687.16
27,99.18,687.23
28,99.33,687.45
29,99.26,687.21
30,99.39,687.14
31,99.48,687.14
32,99.39,686.98
33,99.11,687.16
34,99.39,687.27
35,99.38,687.0
36,99.35,687.05
37,99.31,686.92
38,99.43,687.31
39,99.38,686.95
