epoch,training_acc,training_loss
0,38.1,834.58
1,44.31,793.94
2,46.59,776.29
3,50.35,762.78
4,52.94,751.95
5,54.65,742.67
6,56.55,733.48
7,56.62,724.46
8,59.29,717.23
9,59.26,709.27
10,59.51,701.75
11,60.16,695.31
12,62.9,688.62
13,64.08,682.75
14,64.97,675.51
15,65.57,670.21
16,65.78,664.03
17,67.12,659.01
18,66.75,654.63
19,66.26,649.17
20,67.54,645.1
21,67.86,640.81
22,66.7,637.5
23,67.46,634.25
24,67.79,630.68
25,68.57,628.18
26,69.13,625.91
27,68.45,623.28
28,69.35,621.0
29,69.19,619.49
30,68.8,618.37
31,69.37,616.12
32,68.49,614.78
33,69.31,613.87
34,69.48,613.0
35,69.39,611.51
36,69.45,610.65
37,69.94,609.7
38,69.93,609.41
39,70.74,608.64
