epoch,training_acc,training_loss
0,39.84,833.23
1,45.7,791.41
2,49.08,774.41
3,49.58,760.35
4,53.0,749.25
5,53.42,739.52
6,58.02,731.13
7,58.42,723.09
8,57.91,715.38
9,61.2,707.15
10,61.51,700.76
11,61.88,693.18
12,59.53,686.94
13,65.34,680.3
14,64.84,673.43
15,65.07,667.46
16,64.79,662.9
17,66.48,656.96
18,66.47,651.71
19,66.91,647.15
20,67.62,643.13
21,67.28,639.33
22,67.04,635.87
23,67.9,632.87
24,66.37,629.69
25,67.54,627.17
26,68.42,624.98
27,68.94,623.07
28,67.04,620.79
29,68.62,618.88
30,69.31,618.1
31,69.14,616.37
32,67.67,614.58
33,66.57,614.12
34,69.95,613.06
35,68.58,612.24
36,69.47,611.16
37,69.31,610.1
38,69.53,608.85
39,69.4,608.87
