epoch,training_acc,training_loss
0,39.15,838.14
1,41.42,796.94
2,47.51,778.04
3,50.96,764.17
4,52.05,753.11
5,55.54,743.46
6,54.46,734.84
7,56.63,726.62
8,58.39,718.75
9,60.3,710.87
10,60.82,703.23
11,62.24,696.18
12,63.37,689.08
13,62.0,682.3
14,64.46,676.34
15,64.21,670.2
16,66.33,664.36
17,65.82,659.13
18,65.64,653.67
19,64.59,648.89
20,66.78,644.26
21,67.12,640.88
22,67.25,636.7
23,68.43,633.17
24,67.55,629.39
25,68.7,627.95
26,68.31,624.68
27,68.26,622.76
28,66.07,621.29
29,68.86,619.06
30,68.77,617.63
31,68.97,616.39
32,68.48,615.15
33,68.55,613.73
34,69.1,613.04
35,69.66,611.06
36,69.71,610.45
37,69.23,609.94
38,69.16,608.92
39,68.49,608.06
