epoch,training_acc,training_loss
0,38.26,840.53
1,41.52,799.99
2,48.33,779.49
3,50.69,765.11
4,54.43,753.43
5,53.67,743.07
6,56.57,734.82
7,59.25,726.47
8,56.19,717.71
9,60.55,710.52
10,60.88,703.15
11,60.62,695.98
12,62.85,690.22
13,63.85,683.32
14,65.13,676.94
15,64.65,671.17
16,65.88,665.03
17,65.49,659.1
18,66.47,654.82
19,63.73,650.25
20,64.84,645.75
21,67.59,641.24
22,67.5,637.62
23,67.67,634.74
24,68.07,630.98
25,68.15,628.64
26,68.16,625.81
27,69.09,624.21
28,67.19,622.09
29,68.17,620.61
30,68.01,618.43
31,68.66,617.07
32,69.04,615.62
33,69.23,614.68
34,68.53,613.36
35,68.65,612.67
36,68.35,611.87
37,69.33,610.58
38,68.66,609.99
39,69.27,609.62
