epoch,training_acc,training_loss
0,37.44,840.01
1,41.33,798.17
2,46.28,779.73
3,50.35,765.64
4,51.34,755.13
5,54.74,746.78
6,55.15,738.17
7,56.79,731.02
8,56.72,722.92
9,60.02,715.71
10,59.71,709.47
11,59.9,702.55
12,61.43,696.12
13,60.05,690.24
14,61.7,684.0
15,62.98,678.81
16,64.76,673.67
17,64.78,668.03
18,65.7,662.74
19,64.03,659.11
20,66.09,654.17
21,64.99,650.22
22,65.34,645.79
23,66.64,642.93
24,65.47,639.71
25,66.32,636.57
26,66.12,633.84
27,66.18,631.57
28,66.7,629.46
29,66.24,626.95
30,67.19,625.45
31,67.99,623.62
32,67.23,621.98
33,67.56,619.73
34,66.59,619.29
35,66.27,617.93
36,67.41,616.33
37,68.4,615.88
38,66.71,614.61
39,68.45,613.84
